City;Location;Coordinates;Country Code;Pollutant;Source Name;Unit;Value;Last Updated;Country
West-Vlaanderen;Belgium - West-Vlaanderen - BELRL01;50.95318,3.1211555;BE;PM2.5;EEA Belgium;µg/m³;10.0;2020-12-20T02:00:00+01:00;Belgium
West-Vlaanderen;Belgium - West-Vlaanderen - BETN012;51.254574,3.362536;BE;PM10;EEA Belgium;µg/m³;17.1;2020-12-20T02:00:00+01:00;Belgium
West-Vlaanderen;Belgium - West-Vlaanderen - BETN029;51.01628,2.582323;BE;O3;EEA Belgium;µg/m³;41.5;2020-12-20T02:00:00+01:00;Belgium
Luxembourg;Belgium - Luxembourg - BETN085;50.303207,6.001736;BE;NO2;EEA Belgium;µg/m³;1.0;2020-12-20T02:00:00+01:00;Belgium
Liege;Belgium - Liege - BETR222;50.613415,5.570223;BE;PM10;EEA Belgium;µg/m³;3.771;2020-12-20T02:00:00+01:00;Belgium
Liege;Belgium - Liege - BETR240;50.583614,5.397446;BE;SO2;EEA Belgium;µg/m³;2.0;2020-12-20T02:00:00+01:00;Belgium
Hainaut;Belgium - Hainaut - BETR501;50.40931,4.452172;BE;NO2;EEA Belgium;µg/m³;4.0;2020-12-20T02:00:00+01:00;Belgium
Hainaut;Belgium - Hainaut - BETR512;50.40781,4.395897;BE;SO2;EEA Belgium;µg/m³;0.0;2020-12-20T02:00:00+01:00;Belgium
Oost-Vlaanderen;Belgium - Oost-Vlaanderen - BETR740;51.150135,3.808735;BE;NO2;EEA Belgium;µg/m³;7.5;2020-12-20T02:00:00+01:00;Belgium
Antwerpen;Belgium - Antwerpen - BETR834;51.092,4.3801036;BE;PM10;EEA Belgium;µg/m³;11.6;2020-12-20T02:00:00+01:00;Belgium
Antwerpen;Belgium - Antwerpen - BETR893;51.28138,4.385771;BE;SO2;EEA Belgium;µg/m³;2.0;2020-12-20T02:00:00+01:00;Belgium
Brussels;Belgium - Brussels - 41MEU1 - MEUDON;50.8951,4.392718;BE;PM10;EEA Belgium;µg/m³;8.0;2017-07-21T00:00:00+02:00;Belgium
