,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,junction,tunnel,ref,access,service,bridge,width
132,14185025,False,Rue des Deux Églises - Tweekerkenstraat,residential,30,97.299,"LINESTRING (4.3723971 50.8457642, 4.3723631 50.8456973, 4.3721188 50.8452626, 4.3719689 50.8449828, 4.3719555 50.8449578, 4.3719445 50.8449372)",,,,,,,,
133,64488010,False,Rue Joseph II - Jozef II-straat,residential,30,65.876,"LINESTRING (4.3723971 50.8457642, 4.3722685 50.8457915, 4.3716689 50.8459257, 4.3715114 50.8459597)",,,,,,,,
134,64488010,False,Rue Joseph II - Jozef II-straat,residential,30,126.577,"LINESTRING (4.3723971 50.8457642, 4.3725184 50.8457384, 4.374011 50.8454209, 4.3741056 50.8454008)",,,,,,,,
135,14184541,True,Rue du Marteau - Hamerstraat,residential,30,125.967,"LINESTRING (4.3732034 50.8472866, 4.3732898 50.847272, 4.3748366 50.8469435, 4.3749057 50.846929)",,,,,,,,
136,14185025,False,Rue des Deux Églises - Tweekerkenstraat,residential,30,80.528,"LINESTRING (4.3732034 50.8472866, 4.3732201 50.8473179, 4.373571 50.8479726)",,,,,,,,
137,14185025,False,Rue des Deux Églises - Tweekerkenstraat,residential,30,178.498,"LINESTRING (4.3732034 50.8472866, 4.3731735 50.8472302, 4.3724278 50.8458238, 4.3723971 50.8457642)",,,,,,,,
138,257256068,True,Square Marie-Louise - Maria-Louizasquare,residential,30,87.59,"LINESTRING (4.3790302 50.8478059, 4.378902 50.8478027, 4.3779381 50.8477692, 4.3777849 50.8477597)",,,,,,,,
139,8245554,True,Square Marie-Louise - Maria-Louizasquare,residential,30,100.715,"LINESTRING (4.3800407 50.847163, 4.3791104 50.8477549, 4.3790302 50.8478059)",,,,,,,,
140,35867835,False,Square Marie-Louise - Maria-Louizasquare,residential,30,57.733,"LINESTRING (4.3800407 50.847163, 4.3800588 50.8468645, 4.3800732 50.8466442)",,,,,,,,
141,8245548,True,Rue Jenneval - Jennevalstraat,residential,30,68.526,"LINESTRING (4.3879547 50.8487816, 4.3875809 50.8482781, 4.3875404 50.8482236)",,,,,,,,
142,14348303,False,Rue du Beffroi - Belfortstraat,residential,30,88.436,"LINESTRING (4.3879547 50.8487816, 4.3890271 50.8484869, 4.3891097 50.8484642)",,,,,,,,
143,8245544,True,Avenue Palmerston - Palmerstonlaan,residential,30,142.096,"LINESTRING (4.3819748 50.8470865, 4.3818677 50.8470806, 4.3802775 50.8470293, 4.3801956 50.8470513, 4.3800407 50.847163)",,,,,,,,
144,64487999,True,Square Ambiorix - Ambiorixsquare,residential,30,37.167,"LINESTRING (4.3819748 50.8470865, 4.3819701 50.8470183, 4.3819809 50.8468606, 4.381985 50.8468235, 4.3819989 50.8467531)",,,,,,,,
145,172228701,True,Square Ambiorix - Ambiorixsquare,residential,30,45.914,"LINESTRING (4.382193 50.8474731, 4.3821436 50.8474036, 4.3820859 50.8473208, 4.3820216 50.8472246, 4.3819863 50.8471521, 4.3819748 50.8470865)",,,,,,,,
146,551655821,False,Rue des Éburons - Eburonenstraat,residential,30,38.846,"LINESTRING (4.382193 50.8474731, 4.3821304 50.8474909, 4.3816964 50.8476271)",,,,,,,,
147,14348107,True,Boulevard Clovis - Clovislaan,residential,30,162.415,"LINESTRING (4.3825558 50.8476462, 4.3825563 50.8477013, 4.3825237 50.8478849, 4.3824589 50.8481515, 4.3823406 50.848479, 4.3822946 50.8485842, 4.3822106 50.8487762, 4.3820873 50.8490082, 4.3820497 50.8490656)",,,,,,,,
148,39590721,True,Square Ambiorix - Ambiorixsquare,residential,30,14.864,"LINESTRING (4.3825558 50.8476462, 4.3824539 50.847629, 4.3823584 50.8475996)",,,,,,,,
149,64487694,True,Square Ambiorix - Ambiorixsquare,residential,30,56.801,"LINESTRING (4.3847863 50.8472139, 4.3847323 50.8473105, 4.3846678 50.8474021, 4.3845849 50.8474914, 4.3844806 50.8475688, 4.3843592 50.8476376)",,,,,,,,
150,8245553,False,Square Gutenberg - Gutenbergsquare,residential,30,42.702,"LINESTRING (4.3771778 50.8477379, 4.3776501 50.8477514, 4.3777849 50.8477597)",,,,,,,,
151,40468852,False,Rue de la Pacification - Pacificatiestraat,residential,30,38.664,"LINESTRING (4.3771778 50.8477379, 4.3770529 50.8477075, 4.3769127 50.8477318, 4.3768062 50.8477609, 4.3766806 50.8478187)",,,,,,,,
152,40468853,False,Rue Philippe le Bon - Filips de Goedestraat,residential,30,114.701,"LINESTRING (4.3771778 50.8477379, 4.3767117 50.8468654, 4.3766519 50.8467613)",,,,,,,,
153,19793798,False,Rue Ortélius - Orteliusstraat,residential,30,84.613,"LINESTRING (4.3766519 50.8467613, 4.3767477 50.8467661, 4.3777426 50.8468015, 4.377855 50.8468056)",,,,,,,,
154,"[59462080, 19793798]",False,"['Rue du Marteau - Hamerstraat', 'Rue Ortélius - Orteliusstraat']",residential,30,126.038,"LINESTRING (4.3766519 50.8467613, 4.3765388 50.8467557, 4.3758564 50.8467374, 4.375604 50.8467768, 4.3749656 50.8469159, 4.3749057 50.846929)",,,,,,,,
155,40468853,False,Rue Philippe le Bon - Filips de Goedestraat,residential,30,114.701,"LINESTRING (4.3766519 50.8467613, 4.3767117 50.8468654, 4.3771778 50.8477379)",,,,,,,,
156,40468853,False,Rue Philippe le Bon - Filips de Goedestraat,residential,30,114.864,"LINESTRING (4.3766519 50.8467613, 4.3766066 50.8466813, 4.3761646 50.8458346, 4.3761381 50.8457806)",,,,,,,,
157,777918558,False,Avenue de Stalingrad - Stalingradlaan,living_street,20,8.886,"LINESTRING (4.3442619 50.8417115, 4.3442934 50.8416341)",,,,,,,,
158,40419702,True,Rue Roger van der Weyden - Rogier van der Weydenstraat,residential,30,89.64599999999999,"LINESTRING (4.3442619 50.8417115, 4.3441561 50.8417289, 4.3434017 50.8421022, 4.3433826 50.8421138, 4.343251 50.8421936)",,,,,,,,
159,74001771,False,Rue des Tanneurs - Huidevettersstraat,living_street,20,20.343,"LINESTRING (4.3467441 50.8406887, 4.3468062 50.84051)",,,,,,,,
160,396640214,False,Rue des Tanneurs - Huidevettersstraat,living_street,20,17.43,"LINESTRING (4.3467441 50.8406887, 4.3469867 50.8407219)",,,,,,,,
161,"[473035225, 8245559]",True,Rue Roger van der Weyden - Rogier van der Weydenstraat,living_street,20,66.178,"LINESTRING (4.3467441 50.8406887, 4.3465744 50.8406666, 4.346515 50.8406643, 4.3464775 50.8406689, 4.3464227 50.8406872, 4.3463452 50.840721, 4.3459431 50.8409245)",,,,,,,,
162,40418283,False,Rue de la Chapelle - Kapellestraat,living_street,20,11.601,"LINESTRING (4.3498027 50.841225, 4.3497137 50.8411371)",,,,,,,,
163,27591117,True,Rue des Brigittines - Brigittinenstraat,living_street,20,109.181,"LINESTRING (4.3498027 50.841225, 4.3496387 50.8411652, 4.3494343 50.8411064, 4.349236 50.841064, 4.3486712 50.840983, 4.3484122 50.8409454, 4.3483285 50.8409313)",,,,,,,,
164,8511754,False,Rue de la Chapelle - Kapellestraat,tertiary,30,75.696,"LINESTRING (4.3503283 50.8415191, 4.3505819 50.8417072, 4.3510977 50.8419936)",2,,,,,,,
165,22369931,True,Rue de la Chapelle - Kapellestraat,living_street,20,49.499,"LINESTRING (4.3503283 50.8415191, 4.3502241 50.8414423, 4.3500466 50.8413393, 4.3498027 50.841225)",,,,,,,,
166,150205010,False,Place de la Chapelle - Kapellemarkt,tertiary,30,64.85000000000001,"LINESTRING (4.3503283 50.8415191, 4.3504284 50.8414232, 4.3505441 50.8413275, 4.3507802 50.8411171, 4.3508599 50.8410424)",,,,,,,,
167,4308722,False,,primary_link,30,14.617,"LINESTRING (4.3777777 50.8135679, 4.3779533 50.8136384)",,,,,,,,
168,150208397,True,Avenue Victoria - Victorialaan,residential,30,8.189,"LINESTRING (4.3777777 50.8135679, 4.3776858 50.8135226)",,,,,,,,
