,osmid,lanes,highway,junction,oneway,length,geometry,ref,name,maxspeed,service,bridge,tunnel,access,width
17778,"[795004187, 436052284]",,cycleway,,False,399.63,"LINESTRING (4.4439468 50.4055357, 4.4446477 50.4053506, 4.4451903 50.4052279, 4.4453458 50.4051914, 4.4455972 50.4051196, 4.445843 50.405075, 4.4473245 50.405042, 4.448864 50.4048713, 4.4493535 50.4046945)",,,,,,,,
17779,110929571,,residential,,False,7.613,"LINESTRING (4.3668744 50.4090391, 4.3668022 50.4089884)",,Rue des Ormes,,,,,,
17780,364912778,,path,,False,47.92,"LINESTRING (4.3668744 50.4090391, 4.366364 50.4093218)",,,,,,,,
17781,110929571,,residential,,False,141.321,"LINESTRING (4.3668744 50.4090391, 4.3675535 50.4095158, 4.3678163 50.4096218, 4.3683206 50.4095944, 4.3684771 50.4095576)",,Rue des Ormes,,,,,,
17782,364912778,,path,,False,47.92,"LINESTRING (4.366364 50.4093218, 4.3668744 50.4090391)",,,,,,,,
17783,364915286,,cycleway,,False,507.469,"LINESTRING (4.366364 50.4093218, 4.3663007 50.4092721, 4.3660304 50.4090896, 4.3652155 50.4086548, 4.3645746 50.4083995, 4.364248 50.4082679, 4.3636934 50.4080775, 4.3629447 50.407834, 4.3620173 50.4076317, 4.3615059 50.4075237, 4.3610745 50.4074373, 4.3600645 50.4073462)",,rue Louis Scohy,,,,,,2.5
17784,364915286,,cycleway,,False,182.74,"LINESTRING (4.366364 50.4093218, 4.3669455 50.4097789, 4.3670568 50.409864, 4.367201 50.4099362, 4.3673123 50.4099631, 4.3677897 50.4099981, 4.3684869 50.4100263)",,rue Louis Scohy,,,,,,2.5
17785,58205598,,residential,,False,52.122,"LINESTRING (4.3684869 50.4100263, 4.3684771 50.4095576)",,Chemin Raymond Neffe,,,,,,
17786,58205598,,residential,,False,12.321,"LINESTRING (4.3684869 50.4100263, 4.368487 50.4100333, 4.3684892 50.4101371)",,Chemin Raymond Neffe,,,,,,
17787,364915286,,cycleway,,False,182.74,"LINESTRING (4.3684869 50.4100263, 4.3677897 50.4099981, 4.3673123 50.4099631, 4.367201 50.4099362, 4.3670568 50.409864, 4.3669455 50.4097789, 4.366364 50.4093218)",,rue Louis Scohy,,,,,,2.5
17788,849025298,,service,,False,8.394,"LINESTRING (4.4442432 50.4032165, 4.4441955 50.4031474)",,,,,,,,
17789,368990600,,service,,False,29.521,"LINESTRING (4.4419375 50.403527, 4.4418366 50.4035151, 4.4417542 50.4034917, 4.4417687 50.4033494)",,,,driveway,,,,
17790,653562681,,tertiary,,False,57.286,"LINESTRING (4.4417687 50.4033494, 4.4409876 50.4034819)",,Rue de la Villette,50,,,,,
17791,653562681,,tertiary,,False,92.818,"LINESTRING (4.4417687 50.4033494, 4.4430675 50.4032423)",,Rue de la Villette,50,,,,,
17792,368990600,,service,,False,29.521,"LINESTRING (4.4417687 50.4033494, 4.4417542 50.4034917, 4.4418366 50.4035151, 4.4419375 50.403527)",,,,driveway,,,,
17793,60418580,,residential,,False,26.041,"LINESTRING (4.4518514 50.4048881, 4.4515526 50.4050244)",,Rue de Montigny,50,,,,,
17794,60418580,,residential,,False,95.017,"LINESTRING (4.4518514 50.4048881, 4.4525292 50.4045787, 4.4527798 50.4044631, 4.4529761 50.4044485)",,Rue de Montigny,50,,,,,
17795,368990786,,service,,False,90.801,"LINESTRING (4.4518514 50.4048881, 4.4523114 50.4053276, 4.4519359 50.4054883)",,,,,,,,
17796,368990786,,service,,False,90.801,"LINESTRING (4.4519359 50.4054883, 4.4523114 50.4053276, 4.4518514 50.4048881)",,,,,,,,
17797,368990922,,service,,False,11.499,"LINESTRING (4.4473619 50.4053512, 4.4472861 50.4053812, 4.4472241 50.4054058)",,,,,,,,
17798,60336711,,residential,,False,10.388,"LINESTRING (4.4472241 50.4054058, 4.4471439 50.4053276)",,Boulevard Joseph Tirou,30,,,,,
17799,60336711,,residential,,False,88.223,"LINESTRING (4.4472241 50.4054058, 4.4473107 50.4054902, 4.4466493 50.405978, 4.4467026 50.4060117)",,Boulevard Joseph Tirou,30,,,,,
17800,368990922,,service,,False,11.499,"LINESTRING (4.4472241 50.4054058, 4.4472861 50.4053812, 4.4473619 50.4053512)",,,,,,,,
17801,368991478,,service,,False,98.27,"LINESTRING (4.4520043 50.4009965, 4.4507503 50.4006195)",,,,,,,,
17802,267274129,,residential,,True,74.196,"LINESTRING (4.4520043 50.4009965, 4.4520632 50.4009091, 4.4523045 50.4005468, 4.4524749 50.4004051)",,Avenue de Philippeville,,,,,,
