,osmid,bridge,oneway,lanes,name,highway,maxspeed,length,geometry,ref,access,junction,tunnel,service,width,est_width
16162,439695828,,False,,,path,,13.395,"LINESTRING (5.5708102 50.6307005, 5.5708354 50.6308199)",,,,,,,
16163,439695828,,False,,,path,,166.625,"LINESTRING (5.5708102 50.6307005, 5.5708257 50.630584, 5.5709203 50.6301061, 5.5711766 50.6293382, 5.5712235 50.6292271)",,,,,,,
16164,439695828,,False,,,path,,13.395,"LINESTRING (5.5708354 50.6308199, 5.5708102 50.6307005)",,,,,,,
16165,574136405,,False,,,path,,7.721,"LINESTRING (5.5708354 50.6308199, 5.5707263 50.6308142)",,,,,,,
16166,574136405,,False,,,path,,17.953,"LINESTRING (5.5708354 50.6308199, 5.5710893 50.6308313)",,,,,,,
16167,439695828,,False,,,path,,212.143,"LINESTRING (5.5708354 50.6308199, 5.5707962 50.6312602, 5.5708976 50.6325449, 5.5708998 50.6326128, 5.5709237 50.6327244)",,,,,,,
16168,105914225,,False,,Rue Raikem,residential,,20.874,"LINESTRING (5.5711052 50.6307155, 5.5708102 50.6307005)",,,,,,,
16169,"[383104177, 426476940]",,True,2,Boulevard Frère-Orban,secondary,,165.434,"LINESTRING (5.5711052 50.6307155, 5.5711238 50.6305963, 5.571214 50.6301566, 5.5713307 50.6298513, 5.571561 50.6292586)",N671,,,,,,
16170,244439052,,False,,Rue de la Belle-Jardinière,residential,50,5.693,"LINESTRING (5.5906525 50.6097022, 5.5905774 50.6097209)",,,,,,,
16171,244439052,,False,,Rue de la Belle-Jardinière,residential,50,50.383,"LINESTRING (5.5906525 50.6097022, 5.590661 50.6096992, 5.5909045 50.6095922, 5.5912752 50.6094839)",,,,,,,
16172,"[441828385, 122576207]",,False,,Rue du Vallon,cycleway,50,135.432,"LINESTRING (5.5906525 50.6097022, 5.5906556 50.6098449, 5.5906039 50.6100789, 5.590519 50.6102606, 5.5907777 50.6100339, 5.5910897 50.6099357, 5.5913186 50.6099047)",,,,,,,
16173,344009258,,False,,,secondary_link,50,17.199,"LINESTRING (5.573106 50.6275219, 5.5729093 50.6274305)",,,,,,,
16174,360756062,,True,,Boulevard Frère-Orban,secondary,50,17.694,"LINESTRING (5.573106 50.6275219, 5.5729627 50.6276525)",N671,,,,,,
16175,28663791,,False,,,service,,13.057,"LINESTRING (5.5419185 50.669114, 5.5418788 50.6689993)",,,,,parking_aisle,,
16176,28663791,,False,,,service,,16.495,"LINESTRING (5.5419185 50.669114, 5.5419308 50.6691496, 5.5420002 50.6692525)",,,,,parking_aisle,,
16177,443026693,,False,,,service,,45.882,"LINESTRING (5.5419185 50.669114, 5.542208 50.6690294, 5.5425057 50.6689359)",,,,,parking_aisle,,
16178,28663795,,False,,,service,,63.865,"LINESTRING (5.5429555 50.6701517, 5.5429156 50.670109, 5.5424869 50.6696601)",,,,,parking_aisle,,
16179,28663795,,False,,,service,,31.976,"LINESTRING (5.5429555 50.6701517, 5.5431249 50.670313, 5.5431687 50.6704026)",,,,,parking_aisle,,
16180,443026686,,False,,,service,,16.054,"LINESTRING (5.5429555 50.6701517, 5.543077 50.6701021, 5.5431469 50.6700734)",,,,,parking_aisle,,
16181,443026692,,False,,,service,,13.044,"LINESTRING (5.5424869 50.6696601, 5.5423235 50.6697152)",,,,,parking_aisle,,
16182,443026692,,False,,,service,,15.171,"LINESTRING (5.5424869 50.6696601, 5.5426712 50.6695896)",,,,,parking_aisle,,
16183,28663795,,False,,,service,,63.865,"LINESTRING (5.5424869 50.6696601, 5.5429156 50.670109, 5.5429555 50.6701517)",,,,,parking_aisle,,
16184,443026692,,False,,,service,,16.629,"LINESTRING (5.5428731 50.6695122, 5.5426712 50.6695896)",,,,,parking_aisle,,
16185,"[443026691, 443026686]",,False,,,service,,79.917,"LINESTRING (5.5428731 50.6695122, 5.5433466 50.6699991, 5.5431469 50.6700734)",,,,,parking_aisle,,
16186,443026691,,False,,,service,,50.121,"LINESTRING (5.5428731 50.6695122, 5.5428034 50.6694204, 5.54268 50.6692351, 5.5426099 50.6690942)",,,,,parking_aisle,,
16187,28663791,,False,,,service,,32.716,"LINESTRING (5.5423235 50.6697152, 5.5425387 50.6699759)",,,,,parking_aisle,,
16188,443026692,,False,,,service,,13.044,"LINESTRING (5.5423235 50.6697152, 5.5424869 50.6696601)",,,,,parking_aisle,,
16189,28663791,,False,,,service,,14.352,"LINESTRING (5.5423235 50.6697152, 5.5422627 50.6696415, 5.5422342 50.6695993)",,,,,parking_aisle,,
16190,443026693,,False,,,service,,50.891,"LINESTRING (5.5431494 50.6687285, 5.5425057 50.6689359)",,,,,parking_aisle,,
16191,443026686,,False,,,service,,16.054,"LINESTRING (5.5431469 50.6700734, 5.543077 50.6701021, 5.5429555 50.6701517)",,,,,parking_aisle,,
16192,"[443026691, 443026686]",,False,,,service,,79.917,"LINESTRING (5.5431469 50.6700734, 5.5433466 50.6699991, 5.5428731 50.6695122)",,,,,parking_aisle,,
16193,443026689,,False,,,service,,63.387,"LINESTRING (5.5431469 50.6700734, 5.5429965 50.6699202, 5.5426712 50.6695896)",,,,,parking_aisle,,
16194,443026693,,False,,,service,,50.891,"LINESTRING (5.5425057 50.6689359, 5.5431494 50.6687285)",,,,,parking_aisle,,
16195,443026691,,False,,,service,,19.141,"LINESTRING (5.5425057 50.6689359, 5.5425674 50.6690107, 5.5426022 50.6690787, 5.5426099 50.6690942)",,,,,parking_aisle,,
16196,443026693,,False,,,service,,45.882,"LINESTRING (5.5425057 50.6689359, 5.542208 50.6690294, 5.5419185 50.669114)",,,,,parking_aisle,,
16197,443026692,,False,,,service,,15.171,"LINESTRING (5.5426712 50.6695896, 5.5424869 50.6696601)",,,,,parking_aisle,,
16198,443026692,,False,,,service,,16.629,"LINESTRING (5.5426712 50.6695896, 5.5428731 50.6695122)",,,,,parking_aisle,,
16199,443026689,,False,,,service,,63.387,"LINESTRING (5.5426712 50.6695896, 5.5429965 50.6699202, 5.5431469 50.6700734)",,,,,parking_aisle,,
16200,444139177,,False,,Rue de l'Official,pedestrian,,10.805,"LINESTRING (5.571568 50.64475, 5.5715298 50.6446559)",,,,,,,
16201,341887753,,False,,Avenue Olympe Gilbart,service,,62.232,"LINESTRING (5.5478329 50.6395124, 5.5478737 50.6395163, 5.5483825 50.6398921, 5.5484189 50.6399225)",,,,,,,
16202,403540465,,False,,,service,,135.435,"LINESTRING (5.5459551 50.6678459, 5.5468168 50.668724, 5.5470539 50.668618)",,,,,parking_aisle,,
16203,403540554,,False,,,service,,157.149,"LINESTRING (5.5459551 50.6678459, 5.5463622 50.6676857, 5.5471793 50.6685342, 5.5470539 50.668618)",,,,,parking_aisle,,
16204,407890337,,False,,,service,,30.145,"LINESTRING (5.5459551 50.6678459, 5.545918 50.6678078, 5.5457302 50.6676153)",,,,,,,
16205,460485305,,False,,,service,,3.618,"LINESTRING (5.5812153 50.636163, 5.5812554 50.6361833)",,,,,parking_aisle,,
16206,460485305,,False,,,service,,15.477,"LINESTRING (5.5812153 50.636163, 5.581044 50.636076)",,,,,parking_aisle,,
16207,"[727135328, 460485302]",,False,,,service,,101.479,"LINESTRING (5.5812153 50.636163, 5.5812903 50.6361029, 5.5812859 50.636084, 5.5812914 50.6360638, 5.5813145 50.6360387, 5.5813376 50.6360289, 5.5813827 50.6360213, 5.5814256 50.6360275, 5.5814508 50.6360387, 5.5815034 50.6360365, 5.5815576 50.6360184, 5.5815882 50.6359948, 5.5816822 50.635918, 5.5818279 50.635762, 5.5819694 50.6355978, 5.5820422 50.6355685, 5.5821134 50.6355483)",,destination,,,driveway,,
16208,460485303,,False,,,service,,5.538,"LINESTRING (5.5809934 50.6364031, 5.5810391 50.6363626)",,,,,parking_aisle,,
16209,460485305,,False,,,service,,3.618,"LINESTRING (5.5812554 50.6361833, 5.5812153 50.636163)",,,,,parking_aisle,,
16210,460485305,,False,,,service,,25.104,"LINESTRING (5.5812554 50.6361833, 5.5810391 50.6363626)",,,,,parking_aisle,,
16211,460485305,,False,,,service,,17.375,"LINESTRING (5.5812554 50.6361833, 5.5812672 50.6361893, 5.5813106 50.6362287, 5.5813326 50.6362646, 5.5813337 50.6363058, 5.581331 50.6363246)",,,,,parking_aisle,,
16212,460485304,,False,,,service,,27.673,"LINESTRING (5.5816009 50.6364763, 5.5813832 50.6363954, 5.5813832 50.6363689, 5.581381 50.636348, 5.5813662 50.6363333, 5.581331 50.6363246)",,,,,parking_aisle,,
16213,460485303,,False,,,service,,5.538,"LINESTRING (5.5810391 50.6363626, 5.5809934 50.6364031)",,,,,parking_aisle,,
16214,460485305,,False,,,service,,25.104,"LINESTRING (5.5810391 50.6363626, 5.5812554 50.6361833)",,,,,parking_aisle,,
16215,460485305,,False,,,service,,23.504,"LINESTRING (5.5810391 50.6363626, 5.5811347 50.6363863, 5.5811957 50.6363867, 5.5812216 50.6363773, 5.5812623 50.6363501, 5.5812898 50.6363351, 5.581331 50.6363246)",,,,,parking_aisle,,
16216,460485304,,False,,,service,,27.673,"LINESTRING (5.581331 50.6363246, 5.5813662 50.6363333, 5.581381 50.636348, 5.5813832 50.6363689, 5.5813832 50.6363954, 5.5816009 50.6364763)",,,,,parking_aisle,,
16217,460485305,,False,,,service,,23.504,"LINESTRING (5.581331 50.6363246, 5.5812898 50.6363351, 5.5812623 50.6363501, 5.5812216 50.6363773, 5.5811957 50.6363867, 5.5811347 50.6363863, 5.5810391 50.6363626)",,,,,parking_aisle,,
16218,460485305,,False,,,service,,17.375,"LINESTRING (5.581331 50.6363246, 5.5813337 50.6363058, 5.5813326 50.6362646, 5.5813106 50.6362287, 5.5812672 50.6361893, 5.5812554 50.6361833)",,,,,parking_aisle,,
16219,460485305,,False,,,service,,15.477,"LINESTRING (5.581044 50.636076, 5.5812153 50.636163)",,,,,parking_aisle,,
16220,460515112,,False,,,service,,44.9,"LINESTRING (5.5847105 50.6354647, 5.5840932 50.6355635)",,,,,parking_aisle,,
16221,8103730,,True,,Rue Douffet,residential,50,104.204,"LINESTRING (5.5847105 50.6354647, 5.5844166 50.6346816, 5.5842642 50.6345915)",,,,,,,
16222,460515112,,False,,,service,,44.9,"LINESTRING (5.5840932 50.6355635, 5.5847105 50.6354647)",,,,,parking_aisle,,
16223,48952866,,True,,Rue Villette,residential,30,12.963,"LINESTRING (5.5821134 50.6355483, 5.5821278 50.6355735, 5.582199 50.6356511)",,,,,,,
16224,"[727135328, 460485302]",,False,,,service,,101.479,"LINESTRING (5.5821134 50.6355483, 5.5820422 50.6355685, 5.5819694 50.6355978, 5.5818279 50.635762, 5.5816822 50.635918, 5.5815882 50.6359948, 5.5815576 50.6360184, 5.5815034 50.6360365, 5.5814508 50.6360387, 5.5814256 50.6360275, 5.5813827 50.6360213, 5.5813376 50.6360289, 5.5813145 50.6360387, 5.5812914 50.6360638, 5.5812859 50.636084, 5.5812903 50.6361029, 5.5812153 50.636163)",,destination,,,driveway,,
16225,460523139,,False,,,service,,39.823,"LINESTRING (5.5850907 50.6364775, 5.58564 50.6363945)",,,,,parking_aisle,,
16226,8103730,,True,,Rue Douffet,residential,50,115.766,"LINESTRING (5.5850907 50.6364775, 5.5849994 50.6362342, 5.5847105 50.6354647)",,,,,,,
16227,460523139,,False,,,service,,39.823,"LINESTRING (5.58564 50.6363945, 5.5850907 50.6364775)",,,,,parking_aisle,,
16228,460538327,,False,,,service,,54.064,"LINESTRING (5.5890297 50.633006, 5.5886454 50.6331801, 5.5886054 50.6332105, 5.5886143 50.6332551, 5.5887096 50.6333374)",,,,,parking_aisle,,
16229,460538332,,True,,,service,,35.532,"LINESTRING (5.5890297 50.633006, 5.588987 50.6329697, 5.588906 50.6328704, 5.588826 50.6327925, 5.5888126 50.6327502, 5.5888339 50.6327276)",,,,,parking_aisle,,
16230,460538329,,False,,,service,,41.579,"LINESTRING (5.5887096 50.6333374, 5.5891926 50.633123)",,,,,parking_aisle,,
16231,460538327,,False,,,service,,54.06399999999999,"LINESTRING (5.5887096 50.6333374, 5.5886143 50.6332551, 5.5886054 50.6332105, 5.5886454 50.6331801, 5.5890297 50.633006)",,,,,parking_aisle,,
16232,460538329,,False,,,service,,48.676,"LINESTRING (5.5887096 50.6333374, 5.5883928 50.633478, 5.5883661 50.6335067, 5.5883608 50.6335485, 5.5883777 50.6335992, 5.5884308 50.6336553)",,,,,parking_aisle,,
16233,460538329,,False,,,service,,41.579,"LINESTRING (5.5891926 50.633123, 5.5887096 50.6333374)",,,,,parking_aisle,,
16234,460538332,,True,,,service,,17.386,"LINESTRING (5.5891926 50.633123, 5.5890777 50.6330469, 5.5890297 50.633006)",,,,,parking_aisle,,
16235,460538329,,False,,,service,,48.676,"LINESTRING (5.5884308 50.6336553, 5.5883777 50.6335992, 5.5883608 50.6335485, 5.5883661 50.6335067, 5.5883928 50.633478, 5.5887096 50.6333374)",,,,,parking_aisle,,
16236,460538332,,True,,,service,,93.73400000000001,"LINESTRING (5.5884308 50.6336553, 5.5893018 50.6332647, 5.5893134 50.6332472, 5.5892831 50.6331976, 5.5892031 50.6331299, 5.5891926 50.633123)",,,,,parking_aisle,,
16237,112630006,,False,,,service,,63.264,"LINESTRING (5.5882345 50.6340026, 5.5882683 50.6340285, 5.5883804 50.6340996, 5.5884035 50.6341425, 5.5884017 50.6341933, 5.5883661 50.6342395, 5.588263 50.6342756, 5.5881634 50.6342847, 5.5880922 50.6342373, 5.5880726 50.6341628, 5.5880758 50.6341554)",,,,,parking_aisle,,
16238,112630006,,False,,,service,,20.836,"LINESTRING (5.5882345 50.6340026, 5.5881598 50.6340489, 5.5880993 50.6341008, 5.5880758 50.6341554)",,,,,parking_aisle,,
16239,112630006,,False,,,service,,194.996,"LINESTRING (5.5882345 50.6340026, 5.5882541 50.633962, 5.5883519 50.6338209, 5.5884391 50.6337781, 5.5886081 50.6337296, 5.5887379 50.6336889, 5.5889016 50.6336054, 5.5890474 50.6335112, 5.5890955 50.6334802, 5.5892004 50.6334238, 5.5893107 50.633382, 5.5893769 50.6333468, 5.589389 50.6333403, 5.5894212 50.6332988, 5.589405 50.6332478, 5.5893392 50.6331688, 5.5892093 50.6330718, 5.5890552 50.6329604, 5.5889745 50.6328619, 5.5888339 50.6327276)",,,,,parking_aisle,,
16240,460538332,,True,,,service,,46.95200000000001,"LINESTRING (5.5882345 50.6340026, 5.5882043 50.6339417, 5.5881909 50.6338909, 5.5881892 50.6338068, 5.5882149 50.6337578, 5.5882905 50.6337183, 5.5884308 50.6336553)",,,,,parking_aisle,,
16241,53497711,,False,,Rue Basse-Wez,residential,50,36.07,"LINESTRING (5.588102 50.632003, 5.5881485 50.6317137, 5.5881619 50.6316812)",,,,,,,
16242,53497711,,False,,Rue Basse-Wez,residential,50,42.447,"LINESTRING (5.588102 50.632003, 5.5880644 50.6322602, 5.5880464 50.6323831)",,,,,,,
16243,460592097,,False,,,service,,23.024,"LINESTRING (5.588102 50.632003, 5.5879155 50.63199, 5.5878492 50.6319731, 5.587808 50.6319393)",,,,,parking_aisle,,
16244,460592097,,False,,,service,,23.024,"LINESTRING (5.587808 50.6319393, 5.5878492 50.6319731, 5.5879155 50.63199, 5.588102 50.632003)",,,,,parking_aisle,,
16245,132935585,,True,,Boulevard Raymond Poincaré,residential,50,42.046,"LINESTRING (5.5833367 50.6294823, 5.5828073 50.6296561)",,,,,,,
16246,460736914,,False,,,service,,38.962,"LINESTRING (5.5833367 50.6294823, 5.5837285 50.6297293)",,,,,,,
16247,460736914,,False,,,service,,38.962,"LINESTRING (5.5837285 50.6297293, 5.5833367 50.6294823)",,,,,,,
16248,460736915,,False,,,service,,21.502,"LINESTRING (5.5837285 50.6297293, 5.5839396 50.6295898)",,,,,,,
16249,460736915,,False,,,service,,66.154,"LINESTRING (5.5837285 50.6297293, 5.583388 50.6299542, 5.5834859 50.6300229, 5.5832777 50.6301602)",,,,,,,
16250,460736915,,False,,,service,,21.502,"LINESTRING (5.5839396 50.6295898, 5.5837285 50.6297293)",,,,,,,
16251,460736915,,False,,,service,,66.154,"LINESTRING (5.5832777 50.6301602, 5.5834859 50.6300229, 5.583388 50.6299542, 5.5837285 50.6297293)",,,,,,,
16252,460810622,,False,,,path,,4.325,"LINESTRING (5.5897639 50.6291559, 5.5897915 50.6291592, 5.5898247 50.6291583)",,,,,,,
16253,460810622,,False,,,path,,4.325,"LINESTRING (5.5898247 50.6291583, 5.5897915 50.6291592, 5.5897639 50.6291559)",,,,,,,
16254,460810623,,False,,,path,,6.84,"LINESTRING (5.5898247 50.6291583, 5.5898182 50.6291658, 5.5897906 50.6291888, 5.5897537 50.6291943)",,,,,,,
16255,460810623,,False,,,path,,5.653,"LINESTRING (5.5898247 50.6291583, 5.5898363 50.6291447, 5.5898472 50.62911)",,,,,,,
16256,460810623,,False,,,path,,6.84,"LINESTRING (5.5897537 50.6291943, 5.5897906 50.6291888, 5.5898182 50.6291658, 5.5898247 50.6291583)",,,,,,,
16257,948384484,,False,,,path,,34.247,"LINESTRING (5.5900764 50.6289428, 5.5905518 50.6290054)",,,,,,,
16258,366335660,,False,,Chemin du Casino,path,,123.088,"LINESTRING (5.5900764 50.6289428, 5.590284 50.6288406, 5.5904081 50.6283615, 5.5904698 50.6282921, 5.590583 50.6282705, 5.5906651 50.6283077, 5.5906714 50.6283638, 5.5906754 50.6285436)",,,,,,,
16259,366335660,,False,,Chemin du Casino,path,,24.761,"LINESTRING (5.5900764 50.6289428, 5.5899154 50.6290577, 5.5898811 50.6290933, 5.5898472 50.62911)",,,,,,,
