,osmid,oneway,lanes,ref,name,highway,maxspeed,length,bridge,junction,geometry,access,service,tunnel,width
0,"[4322146, 34080111, 192480902, 4322151]",True,1,N80,Route de Hannut,primary,90,284.74,yes,roundabout,"LINESTRING (4.9102207 50.477944, 4.9100688 50.4777797, 4.9099947 50.4777124, 4.9093604 50.4772892, 4.908351 50.4766157, 4.9082834 50.4765644, 4.90814 50.4764987, 4.9079966 50.476458, 4.9078445 50.4764438, 4.9076983 50.4764038, 4.9076115 50.4763487, 4.9075576 50.4762847, 4.9075359 50.4762109, 4.9075597 50.4761444)",,,,
1,298428752,True,2,N80,Route de Hannut,primary,,20.852,,roundabout,"LINESTRING (4.9102207 50.477944, 4.9102702 50.47789, 4.9103394 50.4778456, 4.9104238 50.4778137)",,,,
2,4322145,True,2,N80,Route de Hannut,primary,,19.547,,roundabout,"LINESTRING (4.9106481 50.4782857, 4.9105419 50.4782884, 4.9104606 50.4782762, 4.9103824 50.4782528)",,,,
3,4322143,True,2,N80,Route de Hannut,primary,90,150.236,,,"LINESTRING (4.9108027 50.4782449, 4.9108434 50.4783546, 4.9111095 50.4787807, 4.9114032 50.4792261, 4.9115967 50.4794962)",,,,
4,298428751,True,2,N80,Route de Hannut,primary,,11.912,,roundabout,"LINESTRING (4.9108027 50.4782449, 4.9107289 50.4782706, 4.9106481 50.4782857)",,,,
5,"[40354080, 40354083, 37885664]",False,,,Chemin des Grasses Oies,"['service', 'track']",,370.517,,,"LINESTRING (4.9109542 50.477972, 4.911102 50.4779514, 4.9112967 50.4779228, 4.9113914 50.4778886, 4.9114642 50.4778433, 4.9115061 50.4777842, 4.9115102 50.4777076, 4.9114902 50.4775424, 4.9115055 50.4774008, 4.9115393 50.4772357, 4.9117057 50.4769743, 4.9118244 50.4766196, 4.9118664 50.4765286, 4.9122907 50.4765218, 4.9126741 50.4765476, 4.9127974 50.4765895, 4.9128764 50.4767285, 4.9129128 50.4768607, 4.9130154 50.4770416, 4.9132145 50.4771885, 4.913419 50.477315, 4.9136251 50.4774155)",agricultural,,,
6,298428745,True,2,N80,Route de Hannut,primary,,34.226,,roundabout,"LINESTRING (4.9109542 50.477972, 4.9109696 50.4780483, 4.9109475 50.478124, 4.91089 50.4781917, 4.9108027 50.4782449)",,,,
7,298428745,True,2,N80,Route de Hannut,primary,,46.669,,roundabout,"LINESTRING (4.9104238 50.4778137, 4.9105648 50.4777932, 4.9107078 50.4778068, 4.9108165 50.477844, 4.9109015 50.477901, 4.9109542 50.477972)",,,,
8,4322143,True,2,N80,Route de Hannut,primary,90,426.0409999999999,,,"LINESTRING (4.9115967 50.4794962, 4.9122531 50.4802595, 4.9127558 50.4808569, 4.9138434 50.4818854, 4.914437 50.4823275, 4.9148325 50.4827156)",,,,
9,28351114,True,,,,unclassified,,38.973,,,"LINESTRING (4.9115967 50.4794962, 4.9117695 50.4795463, 4.9118547 50.4795534, 4.9121295 50.4795474)",,,,
10,4573099,False,,N80,Route de Hannut,primary,90,51.434,,,"LINESTRING (4.9148325 50.4827156, 4.9153493 50.4830409)",,,,
11,28351108,True,2,N80,Route de Hannut,primary,90,183.33,,,"LINESTRING (4.9148325 50.4827156, 4.9143137 50.4823711, 4.9137737 50.481923, 4.9132105 50.4814332)",,,,
12,4573099,False,,N80,Route de Hannut,primary,90,69.242,,,"LINESTRING (4.9310663 50.4934337, 4.9315011 50.4939916)",,,,
13,30924913,False,,,Rue de l'Église de Boninne,residential,50,65.985,,,"LINESTRING (4.9310663 50.4934337, 4.9303484 50.4938126)",,,,
14,4573099,False,,N80,Route de Hannut,primary,90,239.504,,,"LINESTRING (4.9310663 50.4934337, 4.9310288 50.4933814, 4.930326 50.4924026, 4.9300259 50.4919918, 4.9298315 50.4917474, 4.9297595 50.4916695, 4.9297018 50.4916008, 4.9296034 50.4914924)",,,,
15,37909177,False,,N80,Route de Hannut,primary,30,15.818,,,"LINESTRING (4.9324964 50.4952852, 4.9326276 50.4954004)",,,,
16,"[37909176, 37909177, 4573099]",False,,N80,Route de Hannut,primary,"['30', '90', '70']",160.2,,,"LINESTRING (4.9324964 50.4952852, 4.9323548 50.4951249, 4.9318508 50.494435, 4.9315011 50.4939916)",,,,
17,418281981,False,,,Rue Arthur Blairon,residential,30,60.072,,,"LINESTRING (4.9324964 50.4952852, 4.932833 50.4950981, 4.9330878 50.4949001)",,,,
18,37909172,False,,N80,Route de Hannut,primary,50,31.706,,,"LINESTRING (4.9362735 50.4972547, 4.935919 50.4970802)",,,,
19,28351105,False,,,Drève Boninas,residential,50,275.12,,,"LINESTRING (4.9362735 50.4972547, 4.9338961 50.4980357, 4.9329996 50.4985563)",,,,
20,"[37909171, 37909172]",False,,N80,Route de Hannut,primary,"['70', '50']",295.236,,,"LINESTRING (4.9362735 50.4972547, 4.9367783 50.4975033, 4.9379267 50.4980798, 4.9383444 50.4982799, 4.938618 50.4983944, 4.9388941 50.4984814, 4.9394677 50.498639, 4.9397343 50.4987105)",,,,
21,298428747,True,2,N80,Route de Hannut,primary,90,12.476,,roundabout,"LINESTRING (4.9077707 50.4760097, 4.9078561 50.4759957, 4.9079442 50.4759949)",,,,
22,29380504,True,,,Rue du Porson,unclassified,,24.277,,,"LINESTRING (4.9079442 50.4759949, 4.9080372 50.4759249, 4.9081575 50.475824)",,,,
23,298428747,True,2,N80,Route de Hannut,primary,90,16.947,,roundabout,"LINESTRING (4.9079442 50.4759949, 4.9080597 50.476015, 4.9081591 50.4760575)",,,,
24,158387140,True,2,N80,Route de Hannut,primary,,9.484,,roundabout,"LINESTRING (4.9036503 50.4734046, 4.903607 50.4733976, 4.9035688 50.4733829, 4.903539 50.4733617)",,,,
25,4581613,True,2,N80,Route de Hannut,primary,70,252.117,,,"LINESTRING (4.9038162 50.4733083, 4.9039019 50.4733592, 4.9039849 50.4734726, 4.9041651 50.4736401, 4.9061823 50.4749924)",,,,
26,159147855,True,2,N80,Route de Hannut,primary,,17.778,,roundabout,"LINESTRING (4.9038162 50.4733083, 4.9038035 50.4733474, 4.903767 50.4733799, 4.9037128 50.4734001, 4.9036503 50.4734046)",,,,
27,"[24660180, 358423350, 28388087]",True,1,N91,Chaussée de Louvain,primary,70,139.627,yes,,"LINESTRING (4.8947098 50.4947124, 4.8946798 50.4945661, 4.8944458 50.4936026, 4.8944104 50.4934713)",,,,
28,28388097,True,1,,,primary_link,,13.193,,,"LINESTRING (4.8944104 50.4934713, 4.8945947 50.4934895)",,,,
29,"[358423345, 358423348, 28388087]",True,"['1', '3', '2']",N91,Chaussée de Louvain,primary,70,84.694,,,"LINESTRING (4.8944104 50.4934713, 4.8943887 50.4933727, 4.894363 50.4932499, 4.894285 50.4928938, 4.8943235 50.4927168)",,,,
30,358423340,False,4,N91,Chaussée de Louvain,primary,70,34.368,,,"LINESTRING (4.8941103 50.4917908, 4.8940279 50.4914862)",,,,
31,27956647,False,,,Rue Louis Albert,unclassified,30,115.147,,,"LINESTRING (4.8941103 50.4917908, 4.8945606 50.4916962, 4.8951674 50.4910721)",permissive,,,
32,"[358423344, 358423341, 44636205]",False,"['4', '5']",N91,Chaussée de Louvain,primary,70,96.38999999999999,,,"LINESTRING (4.8941103 50.4917908, 4.8941786 50.4920488, 4.894215 50.4921864, 4.8943106 50.4926481)",,,,
33,28099807,False,,,Rue Hector Fontaine,residential,,411.912,,,"LINESTRING (4.8937766 50.4904823, 4.8883476 50.4915453, 4.8883084 50.4915611, 4.8882272 50.4915937)",,,,
34,"[358423352, 173296554]",False,"['3', '2']",N91,Chaussée de Louvain,primary,70,113.044,,,"LINESTRING (4.8937766 50.4904823, 4.8938478 50.4907913, 4.8938865 50.4909594, 4.8938922 50.4909842, 4.8939085 50.4910447, 4.8940279 50.4914862)",,,,
35,173296554,False,2,N91,Chaussée de Louvain,primary,70,84.255,,,"LINESTRING (4.8937766 50.4904823, 4.8936329 50.4898202, 4.8936137 50.4897317)",,,,
36,28099801,False,,,Rue Jean Geuvens,tertiary,50,144.498,,,"LINESTRING (4.8930236 50.4876603, 4.8927561 50.4877379, 4.8927055 50.4877516, 4.8911477 50.4881742)",,,,
37,"[896764804, 37949567]",False,2,N91,Chaussée de Louvain,primary,"['50', '90']",167.947,,,"LINESTRING (4.8930236 50.4876603, 4.89287 50.487548, 4.892851 50.4875341, 4.8925801 50.4873576, 4.8918367 50.4868733, 4.8913676 50.4865786)",,,,
38,173296554,False,2,N91,Chaussée de Louvain,primary,70,76.982,,,"LINESTRING (4.8930236 50.4876603, 4.8931145 50.4877937, 4.8931251 50.4878092, 4.8931442 50.4878605, 4.8932182 50.488031, 4.8932942 50.4883275)",,,,
39,176038821,False,,,Rue Hébar,tertiary,70,33.81,,,"LINESTRING (4.8930236 50.4876603, 4.893156 50.4876208, 4.8931696 50.4876156, 4.8933196 50.4875589, 4.8934437 50.4875159)",,,,
40,244424647,False,,N80,Route de Hannut,primary,,27.37,,,"LINESTRING (4.9605515 50.5055809, 4.9601648 50.505571)",,,,
41,30924923,False,,,Rue de la Bourgogne,residential,,74.173,,,"LINESTRING (4.9605515 50.5055809, 4.9603315 50.5056937, 4.9601436 50.5057428, 4.9600702 50.5058102, 4.9598101 50.5060313)",,,,
42,44636201,False,,N91,Chaussée de Louvain,primary,50,13.324,,,"LINESTRING (4.8799682 50.4790338, 4.8798327 50.4789506)",,,,
43,8233619,False,,,Rue Saint-Luc,tertiary,50,46.817,,,"LINESTRING (4.8799682 50.4790338, 4.8800846 50.4789683, 4.880451 50.478746)",,,,
44,161232848,False,,N91,Chaussée de Louvain,primary,50,213.324,,,"LINESTRING (4.8799682 50.4790338, 4.8801963 50.4791875, 4.8813832 50.4799876, 4.8817649 50.4802448, 4.8820378 50.4804288)",,,,
45,"[28139707, 30000692, 1006612055]",False,,,Rue de l'Institut,tertiary,"['30', '50']",211.842,,,"LINESTRING (4.8850571 50.4740874, 4.8851031 50.4740149, 4.885935 50.4728216, 4.8860634 50.4727414, 4.8863696 50.4725537, 4.8865353 50.4724672)",,,,
46,37716313,False,,,Rue de la Poteresse,unclassified,50,70.964,,,"LINESTRING (4.8850571 50.4740874, 4.8852852 50.4741672, 4.8859358 50.4743949)",,,,
47,161232853,False,,,Rue Saint-Luc,tertiary,50,216.053,,,"LINESTRING (4.8850571 50.4740874, 4.8850496 50.4742238, 4.884992 50.4752677, 4.8846459 50.4756996, 4.8846133 50.4757396, 4.8844474 50.4759463)",,,,
48,161232854,False,,,Rue de Coquelet,residential,,180.686,,,"LINESTRING (4.8850571 50.4740874, 4.88498 50.4740614, 4.8828007 50.473327)",,,,
49,30000692,False,,,Rue de l'Institut,tertiary,30,25.124,,,"LINESTRING (4.8868061 50.4723211, 4.8865353 50.4724672)",,,,
50,41077173,False,,,,service,,12.457,,,"LINESTRING (4.8868061 50.4723211, 4.8869107 50.4724112)",,parking_aisle,,
51,30000692,False,,,Rue de l'Institut,tertiary,30,24.458,,,"LINESTRING (4.8868061 50.4723211, 4.8869456 50.4722562, 4.8870851 50.4721913)",,,,
52,8433909,False,,,Rue Georges Attout,residential,50,11.565,,,"LINESTRING (4.8907304 50.4713708, 4.8906011 50.4713072)",,,,
53,551261334,False,,,Rue de l'Institut,tertiary,30,5.476,,,"LINESTRING (4.8907304 50.4713708, 4.8906554 50.4713587)",,,,
54,1006611405,False,,,Rue du Grand Feu,tertiary,30,95.443,,,"LINESTRING (4.8907304 50.4713708, 4.8909465 50.4714393, 4.8911054 50.4715152, 4.8913307 50.4716735, 4.8916212 50.4719878)",,,,
55,28139708,False,,,Rue du Grand Feu,tertiary,50,16.877,,,"LINESTRING (4.8948367 50.4720912, 4.8950062 50.4720864, 4.895075 50.4720857)",,,,
56,28139708,False,,,Rue du Grand Feu,tertiary,50,32.472,,,"LINESTRING (4.8948367 50.4720912, 4.894607 50.4721239, 4.8944157 50.4721974)",,,,
57,222487698,False,,,Rue du Viaduc,unclassified,,134.625,,,"LINESTRING (4.9163763 50.4628256, 4.9161283 50.462843, 4.9153731 50.463098, 4.9152865 50.4631071, 4.9151717 50.4631097, 4.9150259 50.4630702, 4.9148528 50.4630229, 4.9147524 50.4628785)",,,,
58,"[358614721, 450623271]",True,"['1', '2']",B901,,primary_link,,193.132,,,"LINESTRING (4.9163763 50.4628256, 4.9170553 50.4621925, 4.9172289 50.4620474, 4.9174011 50.4619247, 4.9177897 50.4616738, 4.9181447 50.4615242)",,,,
59,"[358614728, 208087010]",True,"['3', '2']",B901,,primary_link,,298.968,,,"LINESTRING (4.9181447 50.4615242, 4.9183849 50.4614019, 4.9186296 50.4613072, 4.9189032 50.4612197, 4.9215664 50.4604738, 4.9219263 50.4603438)",,,,
60,4544196,True,1,B901,,primary_link,,317.12,,,"LINESTRING (4.9181355 50.4616828, 4.917741 50.4620775, 4.9175964 50.462237, 4.9174853 50.4624114, 4.9171772 50.462973, 4.9169894 50.4632999, 4.9169663 50.4634682, 4.9170133 50.4635956, 4.9170972 50.4637213, 4.9172885 50.4638479, 4.9177168 50.4639981, 4.9178655 50.4641086)",,,,
61,"[358614729, 208087013, 208087014, 22938655]",True,"['1', '2']",B901,Pont Collard,primary_link,,266.713,yes,,"LINESTRING (4.9181355 50.4616828, 4.9178491 50.4618442, 4.9176705 50.4619783, 4.9176031 50.4620289, 4.9173604 50.4622689, 4.9171427 50.4625217, 4.9169866 50.4627465, 4.9168304 50.4629579, 4.9163203 50.4635847, 4.916163 50.4637016)",,,,
62,947530925,False,,N91,Chaussée de Louvain,primary,,54.808,,,"LINESTRING (4.896928 50.5041577, 4.8968157 50.50367)",,,,
63,28750165,False,,N924,Route de Wasseiges,secondary,90,34.642,,,"LINESTRING (4.896928 50.5041577, 4.8971351 50.5041614, 4.8974045 50.5042158)",,,,
64,"[358423339, 947530925]",False,,N91,Chaussée de Louvain,primary,,894.801,,,"LINESTRING (4.896928 50.5041577, 4.8969958 50.504447, 4.8987945 50.5121168)",,,,
65,896770845,False,,N91,Chaussée de Louvain,primary,,133.465,,,"LINESTRING (4.895211 50.4966466, 4.8954621 50.4978362)",,,,
66,"[30098782, 329768295]",True,,,Rue Notre-Dame des Champs,residential,"['30', '50']",394.471,,,"LINESTRING (4.895211 50.4966466, 4.8953782 50.4965743, 4.8979162 50.4954768, 4.8981393 50.4953803, 4.8993249 50.4948567, 4.899833 50.4946627)",,,,
67,"[28388089, 358423354, 358423349]",False,3,N91,Chaussée de Louvain,primary,,182.669,,,"LINESTRING (4.895211 50.4966466, 4.8951683 50.4964669, 4.8951113 50.4962265, 4.8950675 50.4960418, 4.8949917 50.4956028, 4.8949461 50.4953389, 4.8949096 50.4951236, 4.8948872 50.4950171)",,,,
68,358423343,False,5,N91,Chaussée de Louvain,primary,70,7.693,,,"LINESTRING (4.8943235 50.4927168, 4.8943106 50.4926481)",,,,
69,"[358423353, 28388094]",True,2,N91,Chaussée de Louvain,primary,70,88.35,,,"LINESTRING (4.8943235 50.4927168, 4.8944672 50.4929798, 4.8945947 50.4934895)",,,,
70,318670357,True,,N90,,primary,,8.057,,roundabout,"LINESTRING (4.8983512 50.4642463, 4.8983313 50.4642803, 4.8982961 50.4643087)",,,,
71,318670360,True,,N90,,primary,,9.6,,roundabout,"LINESTRING (4.8980794 50.4643245, 4.8980277 50.4642965, 4.8979954 50.4642586)",,,,
72,8425351,True,,N90,,primary,,12.292,,roundabout,"LINESTRING (4.8979954 50.4642586, 4.8979866 50.4642222, 4.897996 50.4641858, 4.8980226 50.4641531)",,,,
73,22934430,True,,N90,Chaussée de Liège,primary,70,28.473,,,"LINESTRING (4.8979954 50.4642586, 4.8978659 50.4642277, 4.8977208 50.4642147, 4.8976034 50.464213)",,,,
74,8425351,True,,N90,,primary,,17.326,,roundabout,"LINESTRING (4.8980226 50.4641531, 4.8980666 50.464126, 4.8981221 50.4641096, 4.8981829 50.4641057, 4.8982425 50.4641147)",,,,
75,"[28393299, 264252479]",False,4,N905,Pont des Grands Malades,secondary,,229.377,yes,,"LINESTRING (4.8984533 50.4650011, 4.8984942 50.4651378, 4.8990339 50.4660504, 4.8991379 50.466325, 4.8993363 50.466979)",,,,
76,264252481,True,,N905,,secondary,,39.769,,,"LINESTRING (4.8984533 50.4650011, 4.8983178 50.4647745, 4.8983044 50.4647416, 4.8982723 50.464663)",,,,
77,298271639,True,2,N80,Route de Hannut,primary,70,387.352,,,"LINESTRING (4.8988546 50.4699768, 4.899307 50.4703033, 4.9003649 50.4710363, 4.900831 50.4713718, 4.9025271 50.4725596)",,,,
78,159147857,True,2,N80,Route de Hannut,primary,,14.47,,roundabout,"LINESTRING (4.903267 50.4731079, 4.9033234 50.4731077, 4.9033885 50.4731302, 4.9034311 50.4731687)",,,,
79,23401505,False,,,Rue de la Libération,residential,50,284.034,,,"LINESTRING (4.9038117 50.4732959, 4.9039304 50.4732642, 4.9040264 50.4731874, 4.9043002 50.4727283, 4.9046845 50.4717966, 4.9050243 50.4709024)",,,,
80,158387152,True,2,N80,Route de Hannut,primary,,3.622,,roundabout,"LINESTRING (4.9038117 50.4732959, 4.9038118 50.4732859, 4.9038162 50.4733083)",,,,
81,8149298,True,,N90,Chaussée de Liège,primary,70,121.75,,,"LINESTRING (4.8982425 50.4641147, 4.8987248 50.4640735, 4.8999514 50.4639909)",,,,
82,8425351,True,,N90,,primary,,17.754,,roundabout,"LINESTRING (4.8982425 50.4641147, 4.8983101 50.464146, 4.8983491 50.4641931, 4.8983512 50.4642463)",,,,
83,318670353,True,2,N90,Chaussée de Liège,primary,70,19.671,,,"LINESTRING (4.8999514 50.4639909, 4.9002288 50.4639802)",,,,
84,1000520400,True,,,,primary_link,,29.542,,,"LINESTRING (4.8999514 50.4639909, 4.9000696 50.4640129, 4.9002629 50.4640182, 4.9003474 50.4640531)",,,,
85,318670355,True,2,N90,Chaussée de Liège,primary,70,242.674,,,"LINESTRING (4.9145783 50.4635304, 4.9151011 50.4635654, 4.9157819 50.4636461, 4.9165262 50.4637735, 4.9171388 50.4639147, 4.9178655 50.4641086)",,,,
86,"[4581629, 544299639]",True,"['1', '2']",B901,,primary_link,,155.013,,,"LINESTRING (4.9145783 50.4635304, 4.9149295 50.4634865, 4.9150328 50.4634723, 4.9153335 50.4634117, 4.9155952 50.4633213, 4.9159171 50.4631763, 4.9162111 50.4629756, 4.9163763 50.4628256)",,,,
87,264538924,True,2,,Rue du Pont des Ardennes,primary,50,16.786,,,"LINESTRING (4.8768942 50.4610733, 4.8767693 50.4611113, 4.8766811 50.4611395)",,,,
88,436819860,True,,,Place Joséphine Charlotte,primary,50,29.161,,roundabout,"LINESTRING (4.8768942 50.4610733, 4.8767588 50.4610587, 4.8766397 50.4610151, 4.8765518 50.460948)",,,,
89,436819862,True,,,Place Joséphine Charlotte,primary,50,23.647,,roundabout,"LINESTRING (4.8765518 50.460948, 4.8765112 50.460882, 4.8765015 50.4608114, 4.8765236 50.4607419)",,,,
90,8425403,False,,,Rue de la Croix Rouge,residential,50,82.46,,,"LINESTRING (4.8771511 50.4606413, 4.8773227 50.4605221, 4.8779286 50.4600891)",,,,
91,318670373,True,,,Place Joséphine Charlotte,primary,50,23.14,,roundabout,"LINESTRING (4.8771511 50.4606413, 4.877221 50.4606945, 4.877265 50.4607579, 4.8772797 50.4608267)",,,,
92,45670359,True,,,Rue Commandant Tilot,residential,,83.971,,,"LINESTRING (4.8783869 50.4614763, 4.8792069 50.4609306)",,,,
93,"[264539185, 43942570]",True,2,N4,Avenue Prince de Liège,primary,"['70', '50']",369.924,,,"LINESTRING (4.8783869 50.4614763, 4.8794155 50.4620065, 4.8803216 50.4624644, 4.880768 50.462698, 4.8811414 50.4628635, 4.8813932 50.4629667, 4.8820822 50.4631953, 4.8823746 50.4632694, 4.8826807 50.4633322)",,,,
94,38868363,False,,,Passage de l'Atelier,unclassified,,10.138,,,"LINESTRING (4.8953447 50.4642019, 4.8953535 50.4642929)",,,,
95,971162982,True,,N90,Chaussée de Liège,primary,70,82.153,,,"LINESTRING (4.8953447 50.4642019, 4.8965017 50.4641434)",,,,
96,8433913,True,,N90,Chaussée de Liège,primary,70,244.841,,,"LINESTRING (4.8965017 50.4641434, 4.8972988 50.4640915, 4.8978446 50.4640714, 4.8986528 50.4640317, 4.8987183 50.4640288, 4.8993349 50.4640014, 4.8999514 50.4639909)",,,,
97,22934429,True,,N90,Chaussée de Liège,primary,70,107.683,,,"LINESTRING (4.8965017 50.4641434, 4.8973142 50.4641445, 4.8977989 50.4641444, 4.8980226 50.4641531)",,,,
98,170231063,False,,,Rue d'Enhaive,residential,,86.719,,,"LINESTRING (4.8779286 50.4600891, 4.8771614 50.4594811)",,,,
99,170231063,False,,,Rue d'Enhaive,residential,,101.142,,,"LINESTRING (4.8779286 50.4600891, 4.8789195 50.4607444)",,,,
100,8425403,False,,,Rue de la Croix Rouge,residential,50,82.46,,,"LINESTRING (4.8779286 50.4600891, 4.8773227 50.4605221, 4.8771511 50.4606413)",,,,
101,4581612,True,2,N80,Route de Hannut,primary,70,104.529,,,"LINESTRING (4.9031181 50.4732117, 4.9029485 50.4730543, 4.9027042 50.4728576, 4.9021638 50.4724968)",,,,
102,8425329,True,2,N80,Route de Hannut,primary,,16.978,,roundabout,"LINESTRING (4.9031181 50.4732117, 4.9031529 50.4731433, 4.903267 50.4731079)",,,,
103,32140323,True,,,Rue du Grand Feu,tertiary,,8.767,,,"LINESTRING (4.9032473 50.4733086, 4.90315 50.4733574)",,,,
104,158387149,True,2,N80,Route de Hannut,primary,,10.693,,roundabout,"LINESTRING (4.9032473 50.4733086, 4.9031789 50.4732881, 4.9031325 50.4732502)",,,,
105,22718966,True,,N80,,primary,,8.308,,,"LINESTRING (4.903539 50.4733617, 4.9034225 50.4733525)",,,,
106,8425410,True,2,N80,Route de Hannut,primary,,18.012,,roundabout,"LINESTRING (4.903539 50.4733617, 4.9035167 50.4733264, 4.9035177 50.4732883, 4.9035419 50.4732535, 4.9035923 50.4732181)",,,,
107,"[25090256, 535163730, 25090255]",True,2,N4,Avenue de Luxembourg,primary,90,431.819,yes,,"LINESTRING (4.8871904 50.4633706, 4.8873828 50.4632424, 4.8876026 50.4630642, 4.8882053 50.4625039, 4.8887608 50.4619822, 4.8890265 50.4617345, 4.8894101 50.4613692, 4.8897729 50.4609809, 4.8900085 50.4606571, 4.8903485 50.4600737)",,,,
108,22934433,True,2,N4,Avenue de Luxembourg,primary,,51.226,,,"LINESTRING (4.8873994 50.4633766, 4.8871003 50.4636284, 4.8870558 50.4636597, 4.8869206 50.4637159)",,,,
109,535163731,True,1,,,primary,,55.161,,,"LINESTRING (4.8873994 50.4633766, 4.8873592 50.4634953, 4.8873185 50.4635529, 4.8872987 50.4636239, 4.8873023 50.463671, 4.8873288 50.4637109, 4.8873701 50.4637408, 4.8874969 50.4638142)",,,,
110,219943004,False,,,Rue Bertrand Janquin,residential,,9.289,,,"LINESTRING (4.8927044 50.4559807, 4.8928222 50.4560175)",,,,
111,219943004,False,,,Rue Bertrand Janquin,residential,,31.724,,,"LINESTRING (4.8927044 50.4559807, 4.8923244 50.4558295)",,,,
112,"[318670344, 535163732]",True,2,N4,Avenue de Luxembourg,primary,"['70', '90']",727.068,,,"LINESTRING (4.8927044 50.4559807, 4.8931596 50.4551929, 4.8933092 50.4549032, 4.8934335 50.4546077, 4.8935261 50.4543473, 4.8936071 50.4540675, 4.8936512 50.4539205, 4.8936797 50.4537813, 4.8937262 50.4534909, 4.8937545 50.4531938, 4.8937634 50.452602, 4.8937441 50.4520134, 4.8937164 50.450962, 4.8936918 50.4505191, 4.8936913 50.4502433, 4.8937378 50.4498997, 4.8938007 50.4496596, 4.8938481 50.4495456)",,,,
113,692999703,True,,,Chaussée de Marche,secondary,,17.952,,,"LINESTRING (4.8939343 50.4493924, 4.8941269 50.4494974)",,,,
114,353978491,True,2,N4,Chaussée de Marche,primary,70,86.19200000000001,,,"LINESTRING (4.8939343 50.4493924, 4.8941241 50.4491143, 4.8943219 50.4489114, 4.8945394 50.4487239)",,,,
115,99505760,False,,,Allée Chant des Oiseaux,residential,,10.169,,,"LINESTRING (4.9075773 50.4402181, 4.907487 50.440147)",,,,
116,625949838,True,2,N4,Chaussée de Marche,primary,90,175.637,,,"LINESTRING (4.9075773 50.4402181, 4.9072549 50.4404259, 4.9058607 50.4413581)",,,,
117,625949833,True,2,N4,Chaussée de Marche,primary,90,236.944,,,"LINESTRING (4.9365503 50.4215113, 4.938729 50.4200865, 4.9388765 50.4199805)",,,,
118,45670335,True,,N90,Avenue Prince de Liège,primary,70,68.559,,,"LINESTRING (4.8874969 50.4638142, 4.8884557 50.4639016)",,,,
119,"[8429273, 8429277]",False,,,,service,,90.213,,,"LINESTRING (4.9014548 50.464256, 4.9014052 50.4641082, 4.9003768 50.4641935)",,parking_aisle,,
120,8429279,False,,,,service,,92.032,,,"LINESTRING (4.9014548 50.464256, 4.9014833 50.4643967, 4.900772 50.4644388, 4.9004132 50.4644738)",,parking_aisle,,
121,93522843,False,,,,service,,75.78399999999999,,,"LINESTRING (4.9014548 50.464256, 4.9009124 50.464309, 4.9003935 50.4643446)",,parking_aisle,,
122,"[318670355, 23126638]",True,2,N90,Chaussée de Liège,primary,70,200.416,,,"LINESTRING (4.9178655 50.4641086, 4.9189352 50.4643665, 4.9200183 50.464641, 4.9204998 50.464769)",,,,
123,"[22938657, 23126636]",True,1,B901,Pont Collard,primary_link,,461.505,yes,,"LINESTRING (4.922094 50.4652792, 4.9219632 50.4652925, 4.9217702 50.4652547, 4.9200487 50.4648054, 4.918408 50.4643864, 4.9171522 50.464067, 4.9164792 50.4639225, 4.916364 50.4638919, 4.9162696 50.463847, 4.916192 50.4637412, 4.916163 50.4637016)",,,,
124,"[358614735, 23126637, 23126639]",True,2,N90,Chaussée de Liège,primary,70,998.2669999999999,,,"LINESTRING (4.922094 50.4652792, 4.9217488 50.4651811, 4.9199809 50.4647122, 4.9188459 50.4644186, 4.9181205 50.464243, 4.9170916 50.4639865, 4.9164841 50.4638458, 4.9157163 50.4637096, 4.9150919 50.4636239, 4.9146011 50.4635798, 4.9139599 50.4635472, 4.9134192 50.4635409, 4.9129257 50.4635579, 4.9108437 50.4636342, 4.9084872 50.4637382)",,,,
125,"[358614737, 358614745]",False,"['4', '5']",N90,Chaussée de Liège,primary,,102.364,,,"LINESTRING (4.922094 50.4652792, 4.9227267 50.4654754, 4.9228639 50.4655218, 4.9232682 50.4656791, 4.9233629 50.4657186)",,,,
126,"[358614725, 358614727, 358614731, 23126640, 358614748]",True,"['1', '2']",B901,Pont Collard,primary_link,,282.401,yes,,"LINESTRING (4.916163 50.4637016, 4.9161759 50.4636118, 4.9162166 50.4635541, 4.9162908 50.4634619, 4.9164343 50.4632837, 4.9167256 50.4629174, 4.9169751 50.4626011, 4.9170299 50.4625367, 4.9174273 50.462069, 4.9176683 50.4618451, 4.9181447 50.4615242)",,,,
127,"[22938656, 358614749]",True,"['1', '2']",B901,Pont Collard,primary_link,,314.963,yes,,"LINESTRING (4.916163 50.4637016, 4.9159687 50.4637696, 4.9158082 50.4637937, 4.9155337 50.4637801, 4.9145954 50.4636632, 4.913479 50.4636208, 4.9117686 50.4636834)",,,,
128,34079816,True,2,N80,Avenue Albert 1er,primary,70,47.815,,,"LINESTRING (4.8943559 50.4677384, 4.8937149 50.4676026)",,,,
129,34079816,True,2,N80,Avenue Albert 1er,primary,70,64.276,,,"LINESTRING (4.8929668 50.4674605, 4.8920904 50.467309)",,,,
130,45670354,False,,,Rue du Wisconsin,residential,,51.387,,,"LINESTRING (4.8929668 50.4674605, 4.8930147 50.4675237, 4.893434 50.4676837, 4.8935506 50.4677156)",,,,
