,osmid,oneway,lanes,ref,name,highway,maxspeed,length,bridge,junction,geometry,access,service,tunnel,width
1435,28133895,True,1,,,tertiary_link,50,18.732,,,"LINESTRING (4.8821476 50.4958803, 4.8824123 50.4958855)",,,,
1436,28133892,True,1,,Rue René Copette,tertiary,50,7.707,,roundabout,"LINESTRING (4.8821476 50.4958803, 4.8821505 50.4959173, 4.8821303 50.4959469)",,,,
1437,28133892,True,1,,Rue René Copette,tertiary,50,15.357,,roundabout,"LINESTRING (4.8821303 50.4959469, 4.8820643 50.4959761, 4.8819922 50.4959743, 4.8819396 50.4959505)",,,,
1438,28133894,True,1,,,tertiary_link,50,17.079,,,"LINESTRING (4.8823714 50.4959551, 4.8821303 50.4959469)",,,,
1439,896764805,True,,,Rue Florimond Bidron,tertiary,50,8.483,,roundabout,"LINESTRING (4.8823714 50.4959551, 4.8823808 50.4959145, 4.8824123 50.4958855)",,,,
1440,896764805,True,,,Rue Florimond Bidron,tertiary,50,13.847,,roundabout,"LINESTRING (4.8824123 50.4958855, 4.8825067 50.4958629, 4.8825941 50.4958864)",,,,
1441,28099802,False,,,Rue Florimond Bidron,tertiary,50,49.988,,,"LINESTRING (4.8825941 50.4958864, 4.8826505 50.4958717, 4.8827963 50.4958099, 4.8831768 50.4956338)",,,,
1442,896764806,True,,,Rue Florimond Bidron,tertiary,50,13.571,,roundabout,"LINESTRING (4.8825941 50.4958864, 4.8826304 50.4959263, 4.8826057 50.4960006)",,,,
1443,"[28133893, 896764805]",True,,,Rue Florimond Bidron,tertiary,50,21.527,,roundabout,"LINESTRING (4.8826057 50.4960006, 4.8825251 50.496028, 4.8824862 50.4960298, 4.8824057 50.4960035, 4.8823714 50.4959551)",,,,
1444,30426268,False,,,Rue Martin Lejeune,tertiary,50,12.562,,,"LINESTRING (4.8826057 50.4960006, 4.8826612 50.4960415, 4.8827402 50.4960723)",,,,
1445,28099802,False,,,Rue Florimond Bidron,tertiary,50,17.39,,,"LINESTRING (4.8831768 50.4956338, 4.8833167 50.4955052)",,,,
1446,28099802,False,,,Rue Florimond Bidron,tertiary,50,49.988,,,"LINESTRING (4.8831768 50.4956338, 4.8827963 50.4958099, 4.8826505 50.4958717, 4.8825941 50.4958864)",,,,
1447,30834900,True,,,Rue Sans Soucis,residential,,46.264,,,"LINESTRING (4.8831768 50.4956338, 4.8834062 50.4957519, 4.8835911 50.4959476)",,,,
1448,28099802,False,,,Rue Florimond Bidron,tertiary,50,77.38,,,"LINESTRING (4.8840094 50.4949666, 4.8833167 50.4955052)",,,,
1449,28792199,False,,,Rue Alfred Brasseur,residential,50,145.852,,,"LINESTRING (4.8840094 50.4949666, 4.8825208 50.494059)",,,,
1450,30834898,False,,,Rue Pierre Thomé,residential,,63.0,,,"LINESTRING (4.8840094 50.4949666, 4.884665 50.4953501)",,,,
1451,28099802,False,,,Rue Florimond Bidron,tertiary,50,146.771,,,"LINESTRING (4.8840094 50.4949666, 4.8852432 50.4941408, 4.8854211 50.494)",,,,
1452,"[97207440, 28141723]",True,,,,primary_link,50,108.202,yes,,"LINESTRING (4.8678253 50.4710322, 4.8676718 50.4709444, 4.867557 50.470902, 4.8674118 50.4708685, 4.8671794 50.4708132, 4.86693 50.4707595, 4.8666538 50.4707156, 4.8664197 50.4706842)",,,,
1453,"[407674434, 626262781, 142771718]",True,2,N91,Chaussée de Louvain,primary,50,45.003,yes,,"LINESTRING (4.8678253 50.4710322, 4.8677512 50.4708609, 4.8677355 50.4708181, 4.8677133 50.4707444, 4.8676864 50.4706377)",,,,
1454,"[26920709, 45670309]",True,2,N4g,,primary,50,160.717,yes,,"LINESTRING (4.8679786 50.4699996, 4.8680316 50.4702816, 4.8680396 50.4704903, 4.8680418 50.4707218, 4.8680165 50.4708181, 4.8679661 50.4708755, 4.8678666 50.470951, 4.8677573 50.4709897, 4.8676326 50.4710125, 4.8675179 50.4710062, 4.8673678 50.4709885, 4.8671803 50.4709465)",,,,
1455,"[28134361, 626262779, 626262780, 32999573]",True,1,N91,Chaussée de Louvain,primary,50,225.9850000000001,yes,,"LINESTRING (4.8679786 50.4699996, 4.8678965 50.4702671, 4.867861 50.4704944, 4.8678446 50.4706082, 4.8678582 50.4707512, 4.8678792 50.4708163, 4.8679177 50.470906, 4.8679479 50.4709546, 4.868018 50.4710429, 4.8681316 50.4711463, 4.8681679 50.4711793, 4.8682926 50.4712578, 4.8684336 50.4713151, 4.8687407 50.4714489, 4.86891 50.4715301, 4.8691696 50.4716545)",,,,
1456,"[28134200, 28139924]",True,3,N4,Boulevard d'Herbatte,"['primary', 'tertiary']",50,165.243,,,"LINESTRING (4.8658916 50.4701205, 4.866089 50.470158, 4.8661762 50.4701639, 4.8665197 50.4702301, 4.8667047 50.470238, 4.8673686 50.47027, 4.8677542 50.4702529, 4.8680298 50.4702448, 4.8681924 50.4702165)",,,,
1457,353984606,True,,,Rond-Point de Bomel,primary,50,20.67,,roundabout,"LINESTRING (4.8658916 50.4701205, 4.8659271 50.4701782, 4.8659277 50.4702402, 4.8658936 50.4702982)",,,,
1458,"[626262784, 410513233]",True,1,,Passage d'Herbatte,tertiary,50,194.186,,,"LINESTRING (4.8653478 50.4697742, 4.8656117 50.4697812, 4.8659906 50.4698031, 4.8663872 50.469841, 4.8672438 50.4699248, 4.8673502 50.4699482, 4.8675614 50.4700278, 4.8676745 50.470033, 4.8680335 50.4700505)",,,yes,
1459,28133933,False,,,Rue de la Poteresse,unclassified,90,54.898,,,"LINESTRING (4.8955062 50.4783465, 4.8961214 50.4786473)",,,,
1460,28139706,False,,,,service,,39.637,,,"LINESTRING (4.8955062 50.4783465, 4.8959422 50.4781227)",,,,
1461,28133933,False,,,Rue de la Poteresse,unclassified,90,471.603,,,"LINESTRING (4.8955062 50.4783465, 4.8927047 50.4768153, 4.8925659 50.4767427, 4.8922437 50.4766048, 4.8901397 50.4758652)",,,,
1462,28139706,False,,,,service,,39.637,,,"LINESTRING (4.8959422 50.4781227, 4.8955062 50.4783465)",,,,
1463,27956649,False,,,Chemin des Aides,unclassified,90,386.934,,,"LINESTRING (4.8959422 50.4781227, 4.8957343 50.477135, 4.8956422 50.4768339, 4.8950644 50.4758605, 4.894509 50.4749355, 4.8944511 50.4747945)",,,,
1464,27956649,False,,,Chemin des Aides,unclassified,90,59.695,,,"LINESTRING (4.8959422 50.4781227, 4.8960037 50.4783023, 4.8961214 50.4786473)",,,,
1465,28139915,False,,,Rue du Sanctuaire,unclassified,50,167.37,,,"LINESTRING (4.8828007 50.473327, 4.8827402 50.473394, 4.8825042 50.4736685, 4.8823346 50.4738472, 4.8821752 50.4739833, 4.8815015 50.474422, 4.8813596 50.4745056)",,,,
1466,161232854,False,,,Rue de Coquelet,residential,,180.686,,,"LINESTRING (4.8828007 50.473327, 4.88498 50.4740614, 4.8850571 50.4740874)",,,,
1467,161232854,False,,,Rue de Coquelet,residential,,122.18,,,"LINESTRING (4.8828007 50.473327, 4.8823935 50.4732211, 4.8822044 50.4730502, 4.8820367 50.4724498)",,,,
1468,28139914,False,,,Rue de Coquelet,residential,30,521.034,,,"LINESTRING (4.8820367 50.4724498, 4.8820345 50.4723714, 4.8814395 50.4716169, 4.8812313 50.4714703, 4.8809174 50.4713413, 4.8804639 50.4712055, 4.8791485 50.4710968, 4.8773109 50.471094, 4.8768858 50.471102, 4.8761679 50.4711715, 4.8757583 50.4711448)",,,,
1469,161232852,False,,,Rue Charles Simon,residential,,264.731,,,"LINESTRING (4.8820367 50.4724498, 4.8800976 50.4729319, 4.8798912 50.4729667, 4.8784593 50.4730923)",,,,
1470,161232854,False,,,Rue de Coquelet,residential,,122.18,,,"LINESTRING (4.8820367 50.4724498, 4.8822044 50.4730502, 4.8823935 50.4732211, 4.8828007 50.473327)",,,,
1471,28139915,False,,,Rue du Sanctuaire,unclassified,50,131.375,,,"LINESTRING (4.8813596 50.4745056, 4.8812318 50.4745888, 4.8800232 50.4753256)",,,,
1472,28139915,False,,,Rue du Sanctuaire,unclassified,50,167.37,,,"LINESTRING (4.8813596 50.4745056, 4.8815015 50.474422, 4.8821752 50.4739833, 4.8823346 50.4738472, 4.8825042 50.4736685, 4.8827402 50.473394, 4.8828007 50.473327)",,,,
1473,28139919,False,,,Avenue Baudouin Premier,residential,50,126.731,,,"LINESTRING (4.8813596 50.4745056, 4.8815377 50.4746008, 4.8826457 50.4752981)",,,,
1474,37949569,False,,,Avenue Baudouin Premier,residential,30,176.893,,,"LINESTRING (4.8813596 50.4745056, 4.8811915 50.4744434, 4.8796992 50.4738765, 4.8792964 50.4736223)",,,,
