,osmid,lanes,name,highway,maxspeed,oneway,length,ref,geometry,width,service,junction,access,bridge,tunnel
8789,"[112952786, 268835826, 268835835]",,,path,,False,147.412,,"LINESTRING (4.6924256 50.8448339, 4.69245 50.844843, 4.6926961 50.8449477, 4.692911 50.8450444, 4.6926533 50.84507, 4.69224 50.8450087, 4.691962 50.8450094, 4.6916156 50.8449617, 4.6915318 50.8449281, 4.6914757 50.844881)",,,,,,
8790,112952787,,,path,,False,21.135,,"LINESTRING (4.6922315 50.8439951, 4.6920067 50.8438687)",,,,,,
8791,"[268835810, 268835816, 268835850, 268835800, 268835803, 268835804]",,,path,,False,137.458,,"LINESTRING (4.6922315 50.8439951, 4.6923992 50.8439338, 4.6925783 50.8439154, 4.6927621 50.8439318, 4.6932204 50.844097, 4.6936163 50.8442532, 4.6939204 50.8443476, 4.6939829 50.8443547)",,,,,,
8792,"[268835840, 268835820, 268835855, 112952784, 268835796, 268835833]",,,path,,False,107.195,,"LINESTRING (4.6922315 50.8439951, 4.6921577 50.8440361, 4.6921086 50.8440907, 4.6920792 50.844134, 4.6920622 50.8441738, 4.6920563 50.8442166, 4.6920668 50.8443122, 4.6920963 50.8443768, 4.69215 50.8444443, 4.6922139 50.844502, 4.6924524 50.8446823, 4.6924824 50.8447225, 4.6924816 50.8447608, 4.6924256 50.8448339)",,,,,,
8793,68438669,,,path,,False,29.177,,"LINESTRING (4.6914757 50.844881, 4.6915996 50.8448302, 4.6917973 50.8447161)",,,,,,
8794,"[268835826, 112952786, 268835835]",,,path,,False,147.412,,"LINESTRING (4.6914757 50.844881, 4.6915318 50.8449281, 4.6916156 50.8449617, 4.691962 50.8450094, 4.69224 50.8450087, 4.6926533 50.84507, 4.692911 50.8450444, 4.6926961 50.8449477, 4.69245 50.844843, 4.6924256 50.8448339)",,,,,,
8795,"[268835842, 268835844, 268835849, 268835817, 119490096, 268835799, 268835807]",,,path,,False,126.617,,"LINESTRING (4.6914757 50.844881, 4.6912861 50.8448471, 4.6911832 50.8448484, 4.6909866 50.8448181, 4.690807 50.8448117, 4.6906926 50.8448089, 4.6906119 50.8448013, 4.6905455 50.8447958, 4.6904392 50.844808, 4.6899025 50.8449088, 4.6897267 50.8449545)",,,,,,
8796,24374655,,Prosperdreef,track,,False,309.929,,"LINESTRING (4.694129 50.8345849, 4.6940081 50.8356993, 4.6938704 50.8360541, 4.6938168 50.8363401, 4.6933092 50.8373052)",,,,,,
8797,112966279,,,track,,False,203.512,,"LINESTRING (4.694129 50.8345849, 4.6946486 50.8346055, 4.695141 50.8346458, 4.6955484 50.8347064, 4.6961584 50.8346895, 4.6970065 50.8346404)",,,,no,,
8798,112966279,,,track,,False,203.512,,"LINESTRING (4.6970065 50.8346404, 4.6961584 50.8346895, 4.6955484 50.8347064, 4.695141 50.8346458, 4.6946486 50.8346055, 4.694129 50.8345849)",,,,no,,
